LON,LAT,ANNUAL
-38.462,-546,5845
-38.275,-5.509,5861
-40.309,-5.388,5672
-38.914,-5.305,5754
-38.270,-5.276,5825
-4.065,-5.168,5589
-39.289,-5.191,5683
-38.129,-5.244,5840
-3.973,-511,5594
-38.371,-5.098,5848
-3.809,-5.144,5796
-37.981,-5.072,5803
-39.016,-4.967,5686
-38.637,-4.970,5775
-4.075,-490,5533
-37.972,-4.927,5788
-40.320,-4.832,5609
-4.007,-4.791,5471
-39.573,-4.846,5517
-39.135,-4.840,5636
-38.824,-4.821,5704
-37.781,-4.832,5782
-40.924,-4.746,5797
-40.831,-4.746,5526
-40.564,-4.705,5595
-37.966,-4.737,5777
-37.833,-4.672,5817
-37.353,-4.713,5981
-40.200,-4.644,5651
-38.928,-4.556,5585
-37.768,-4.559,5908
-40.712,-4.539,5461
-39.621,-4.527,5574
-38.905,-4.456,5514
-38.594,-4.486,5672
-37.798,-4.452,5666
-40.903,-4.413,5737
-39.316,-435,5630
-39.047,-4.413,5629
-38.813,-4.369,5443
-40.706,-4.318,5493
-40.155,-4.336,5635
-38.932,-4.263,5438
-38.995,-4.303,5438
-38.882,-4.326,5291
-38.643,-4.290,5526
-38.501,-4.300,5614
-40.942,-4.160,5616
-40.748,-4.159,5491
-40.645,-4.240,5405
-40.474,-4.194,5604
-39.192,-4.226,5681
-38.922,-4.225,5615
-38.706,-4.221,5410
-3.873,-4.216,5410
-38.465,-4.172,5694
-38.127,-4.178,5872
-40.576,-4.142,5554
-3.924,-4.089,5610
-38.845,-4.139,5590
-38.489,-4.111,5719
-38.242,-4.130,5863
-40.860,-4.048,5418
-40.699,-3.984,5408
-40.749,-4.045,5408
-40.476,-3.951,5551
-39.580,-3.989,5593
-39.454,-4.044,5542
-38.619,-3.979,5433
-38.641,-404,5433
-38.530,-3.966,5586
-38.306,-4.016,5802
-40.921,-3.855,5661
-40.892,-3.924,5324
-4.075,-391,5434
-40.386,-3.918,5530
-39.436,-3.946,5509
-38.626,-3.867,5448
-38.683,-3.892,5448
-38.456,-3.893,5730
-38.390,-3.900,5729
-40.833,-3.768,5383
-40.264,-3.800,5533
-39.270,-3.793,5608
-40.349,-3.690,5491
-39.785,-3.748,5554
-39.586,-3.684,5416
-39.347,-3.677,5513
-39.239,-3.670,5554
-38.662,-3.728,5701
-38.543,-3.717,5776
-41.092,-3.567,5487
-40.654,-3.552,5470
-40.544,-3.584,5499
-39.968,-3.569,5558
-3.951,-3.624,5353
-40.680,-3.467,5552
-40.453,-3.540,5607
-40.343,-352,5514
-40.209,-3.461,5506
-39.584,-3.500,5561
-40.467,-3.353,5571
-39.830,-3.363,5580
-39.148,-3.438,5684
-39.030,-3.415,5693
-40.559,-3.314,5552
-39.268,-3.270,5594
-4.070,-3.223,5531
-40.125,-3.229,5499
-4.083,-3.123,5455
-40.154,-3.121,5525
-41.244,-3.036,5570
-41.136,-3.021,5604
-40.168,-3.050,5566
-4.085,-2.899,5529
-4.045,-290,5456
-40.176,-2.919,5577
-40.119,-2.888,5577
-3.992,-2.925,5630
-47.930,-15.780,5252
-41.570,-21.153,4909
-41.673,-21.125,4870
-41.362,-21.063,4834
-41.047,-21.097,4952
-41.657,-21.030,4794
-41.346,-20.951,4792
-40.839,-21.040,5021
-41.199,-20.914,4947
-40.939,-20.856,4868
-41.674,-20.767,4800
-41.539,-20.759,4893
-41.395,-20.800,4950
-41.120,-20.847,5013
-40.814,-20.792,4676
-40.727,-20.834,4868
-40.643,-2.080,5018
-41.841,-20.694,4800
-41.007,-20.671,4822
-40.510,-20.678,4954
-41.684,-20.621,4786
-41.204,-20.604,4896
-40.755,-20.640,4714
-41.667,-20.547,4742
-4.142,-20.466,4866
-41.645,-20.351,4727
-41.534,-20.354,4782
-41.242,-20.364,4759
-40.660,-20.361,4673
-40.675,-20.412,4673
-40.494,-2.038,4866
-41.136,-20.328,4684
-40.417,-20.264,4783
-40.314,-20.316,4957
-40.288,-20.342,5026
-4.151,-20.235,4707
-41.126,-20.078,4753
-40.527,-20.100,4591
-40.308,-20.122,4903
-40.744,-20.026,4619
-41.063,-19.900,4836
-40.876,-19.876,4798
-40.598,-19.937,4542
-40.408,-19.938,4604
-40.861,-19.802,4820
-40.386,-19.758,4746
-40.374,-19.837,4746
-40.277,-19.821,4835
-40.653,-19.742,4810
-41.011,-19.522,4961
-40.628,-19.539,4849
-4.055,-19.412,4753
-40.065,-19.395,4852
-40.461,-19.252,4684
-40.337,-19.272,4716
-40.854,-19.223,4745
-40.098,-19.190,4821
-41.017,-19.058,4816
-40.624,-19.144,4806
-4.074,-18.985,4799
-40.537,-19.019,4803
-40.385,-18.996,4787
-41.122,-18.863,4787
-40.076,-18.908,4821
-40.897,-18.755,4846
-40.406,-18.716,4805
-39.858,-18.722,4997
-40.609,-18.610,4795
-39.737,-18.589,5130
-40.986,-18.549,4767
-40.293,-18.539,4850
-4.083,-18.372,4784
-40.218,-18.415,4861
-39.954,-18.300,4897
-40.541,-18.123,4865
-40.519,-18.094,4865
